[4900, 10]
[4892, 220]
[4885, 360]
[4878, 530]
[4871, 700]
[4864, 875]
[4857, 1020]
[4850, 1195]
[4289, 10]
[4278, 220]
[4269, 360]
[4259, 530]
[4250, 700]
[4240, 875]
[4231, 1020]
[4221, 1195]
[3678, 10]
[3665, 220]
[3653, 360]
[3641, 530]
[3629, 700]
[3617, 875]
[3605, 1020]
[3592, 1195]
[3067, 10]
[3052, 220]
[3037, 360]
[3023, 530]
[3008, 700]
[2993, 875]
[2979, 1020]
[2964, 1195]
[2457, 10]
[2439, 220]
[2422, 360]
[2404, 530]
[2387, 700]
[2370, 875]
[2353, 1020]
[2335, 1195]
[1846, 10]
[1826, 220]
[1806, 360]
[1786, 530]
[1766, 700]
[1746, 875]
[1727, 1020]
[1707, 1195]
[1235, 10]
[1213, 220]
[1190, 360]
[1168, 530]
[1145, 700]
[1123, 875]
[1101, 1020]
[1078, 1195]
[625, 10]
[600, 220]
[575, 360]
[550, 530]
[525, 700]
[500, 875]
[475, 1020]
[450, 1195]
